config,seeds,acc,acc_sd,forgetting,fit_min
bp_none,3,0.19699999999999998,0.00017320508075688868,0.9981331818490004,0.149950114885966
bp_er_200,3,0.7048,0.0053563046963367965,0.36781154986584125,0.30255981153912015
bp_er_1000,6,0.8901628410290604,0.006610585007503575,0.13100361976921324,0.3140771653917101
bp_er_5000,3,0.9558666666666666,0.000850490054811581,0.04709726308520982,0.35295432011286415
ctx_none,3,0.19499999999999998,0.0001999999999999988,0.9951690023894285,0.35604651504092744
ctx_er_1000,3,0.8675666666666667,0.01626786197794083,0.1411754104443412,0.5911243677139282
ctx_nrem_rand_200,3,0.8690333333333333,0.0068383721259765995,0.11060061586567234,0.570598308245341
ctx_nrem_rand_1000,3,0.9068666666666667,0.0039106691669500105,0.06065200898844669,0.5430440571573045
ctx_nrem_rand_5000,3,0.8718,0.06571057753512746,0.10090393136328879,0.5470974246660868
ctx_nrem_surp_200,3,0.8018333333333333,0.014454872304290144,0.21362379505580023,0.4821089360449049
ctx_nrem_surp_1000,3,0.8332666666666667,0.005200320502943356,0.16867312115027086,0.5182671070098877
ctx_nrem_surp_5000,3,0.8415666666666667,0.0017214335111567466,0.15746333585982758,0.5079319145944383
ctx_nrem_surpbal_200,3,0.8053666666666667,0.025006865723903413,0.21215848228692855,0.4588454100820753
ctx_nrem_surpbal_1000,3,0.8898999999999999,0.05035007447859432,0.08808638028462502,0.5598458038436042
ctx_nrem_rand_5000_R40,3,0.9361666666666667,0.004292241061885178,0.032669143176135035,0.7012331618203057
ctx_nrem_rand_5000_g2,3,0.8614,0.02859318100526774,0.12183167268786559,0.5352014051543341
ctx_nrem_rand_1000_g2,3,0.8635333333333334,0.04619570687123784,0.12144451979264187,0.52356499698427
bp_nrem_rand_200,3,0.8218666666666666,0.007899578047803155,0.14120011625803686,0.23936090999179419
bp_nrem_rand_1000,3,0.8062666666666667,0.06705492773341373,0.19468026398593538,0.2575235962867737
b0_only_200,3,0.8406666666666666,0.03614558525371162,0.14599421372837865,0.6316771282090081
gen_only_0,3,0.3831333333333333,0.037603501610000804,0.7562684155133592,0.6382614745034112
gen_200,3,0.8405666666666667,0.002753785273643008,0.15502795135272496,0.8513785309261745
gen_1000,3,0.8723666666666666,0.04199349155920874,0.1076117995290743,0.8963039477666219
neg_200,3,0.6696666666666666,0.03785001100836479,0.28289555499048713,0.7681183245446946
gen_neg_200,3,0.7049666666666666,0.023885002267810918,0.30224018511787465,0.9382485906283061
gen_200_R40,3,0.8496666666666667,0.003865660788705221,0.13245994426783197,1.1092148131794402
neg_200_w,3,0.7985333333333333,0.008085377748338885,0.2008290941200741,0.7545290602578058
neg_1000_w,3,0.8786666666666667,0.003754108860080303,0.07680807027555843,0.8035056379106309
gen_neg_200_w,3,0.8225333333333333,0.015236250632400765,0.1775172648849007,0.9387717445691427
static_ctx_gen,3,0.9394333333333332,0.003401960219246176,0.0,0.4690981494055854
static_ctx_neg,3,0.9400333333333334,0.0016653327995728383,0.0,0.44928113751941257
sch_count_fixed_200,3,0.8682,0.006409368143584789,0.12269054670329893,0.5748298353619046
sch_count_err_200,3,0.8233333333333333,0.029196632225880672,0.19567456881396725,0.5095374306042989
sch_count_R11_200,3,0.7206,0.008869611039949826,0.3307264790665483,0.5969385756386651
sch_surp10_fixed_200,3,0.8556,0.012536745989290872,0.141009436170064,0.5361244916915894
sch_surp20_fixed_200,3,0.8394666666666666,0.026710360037508516,0.14942913240907224,0.4898099276754591
sch_surp10_err_200,3,0.8440333333333333,0.00664253967495361,0.17317814859033206,0.5047112027804057
sch_surp20_err_200,3,0.8495666666666667,0.02182872724950619,0.13968073004723047,0.49485430585013496
sch_surp40_err_200,3,0.8032333333333334,0.02121846679977923,0.13085374762531696,0.5090999179416232
sch_surp10_err_rem_200,3,0.8432666666666666,0.014230366591670589,0.17706873450690416,0.9651188598738776
sch_count_fixed_1000,3,0.8597,0.022400669632848008,0.13699534538123634,0.6899737662739224
sch_count_err_1000,3,0.9120666666666667,0.000981495457622392,0.06471504760001817,0.6461234794722662
sch_count_R11_1000,3,0.7725666666666666,0.011254480589229019,0.2658543193394978,0.6211586157480876
sch_surp10_fixed_1000,3,0.9065333333333333,0.008342861219829372,0.061992080811912355,0.6465001503626505
sch_surp20_fixed_1000,3,0.8416,0.029486098419424674,0.1396130533991087,0.5701361563470628
sch_surp10_err_1000,3,0.9100333333333334,0.005937451754189964,0.0757785596845455,0.6174318671226502
sch_surp20_err_1000,3,0.9061333333333333,0.002830783166074955,0.08076327699089281,0.5734893414709303
sch_surp40_err_1000,3,0.8523666666666667,0.039581603470972844,0.12910614738291867,0.4888271623187595
sch_surp10_err_rem_1000,3,0.9149666666666666,0.003932344508475019,0.06153024890308986,0.981052655643887
loc16_none_1000,3,0.8685,0.009814784765852064,0.14123111241812256,10.547978333632152
loc16_silent_1000,3,0.8778333333333332,0.009272180613713984,0.12636513848296924,10.691197628445094
loc16_used_1000,3,0.8740666666666667,0.009728994466713076,0.13095299637954638,10.655803525447846
loc16_old_1000,3,0.1918,0.0013076696830622045,0.9890393776378509,10.465690089596643
